tabela;label;modalidade;modalidade_sistema;situacao;orgao;orgao_id;data_publicacao;numero;numero_processo;ano;data_homologacao;data_abertura;data_fechamento;data_protocolo;data_julgamento;valor_estimado;valor_homologado;descricao;fundamento;covid;mp;lei_base;registro_preco;lembretes;orcamento_sigiloso;chave;modalidade_id;situacao_id;ocultar_modalidades;total;empenhos
licitacoes;031/20145;Pregão Presencial;;Homologada;FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL;5800;2015-10-06;31;2015047300;20145;2016-04-12;2015-10-21 00:00:00;;;;0.00;;MANUTENÇÃO E CONSERVAÇÃO DE BENS DE IMOVÉIS;;0;;;0;0;0;11539;12;5;;2129;False
licitacoes;000036/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;SECRETARIA MUNICIPAL DE INFRAESTRUTURA E SERVIÇOS PÚBLICOS;3500;2026-07-01;000036;622392025;2026;;;;;;1781212.71;0.00;REGISTRO DE PREÇOS PARA A AQUISIÇÃO DE FERRAMENTAS E EQUIPAMENTOS DE USO PROFISSIONAL/INDUSTRIAL, PARA ATENDER AS DEMANDAS DA SECRETARIA MUNICIPAL DE INFRAESTRUTURA E HABITAÇÃO, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO EDITAL E SEUS ANEXOS.;;0;;;0;0;0;41542;13;1;;2129;False
licitacoes;000033/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;FUNDO MUNICIPAL DE SAÚDE;3200;2026-06-30;000033;202600984;2026;;2026-07-13 00:00:00;2026-07-13 00:00:00;;;5227848.00;0.00;FUTURA AQUISIÇÃO DE INSUMOS DE ENFERMAGEM, VOLUME III, ÁCIDO PERACÉTICO, PARA ATENDER A REDE MUNICIPAL DE SAÚDE;;0;;;0;0;0;41539;13;1;;2129;False
licitacoes;000031/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;SECRETARIA MUNICIPAL DE ZELADORIA URBANA;1900;2026-06-17;000031;2026002372;2026;;;;;;0.00;0.00;AQUISIÇÃO FUTURA E EVENTUAL DE SEMENTES ORNAMENTAIS E MUDAS DE FLORES TIPO ?PLUGS? EM ATENDIMENTO DAS NECESSIDADES DA SECRETARIA MUNICIPAL DE ZELADORIA URBANA, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO EDITAL E SEUS ANEXOS.;;0;;;0;0;0;41526;13;1;;2129;False
licitacoes;000031/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;SECRETARIA MUNICIPAL DE ZELADORIA URBANA;1900;2026-06-16;000031;2026002372;2026;;;;;;0.00;0.00;AQUISIÇÃO FUTURA E EVENTUAL DE SEMENTES ORNAMENTAIS E MUDAS DE FLORES TIPO ?PLUGS? EM ATENDIMENTO DAS NECESSIDADES DA SECRETARIA MUNICIPAL DE ZELADORIA URBANA, CONFORME CONDIÇÕES, QUANTIDADES E EXIGÊNCIAS ESTABELECIDAS NO EDITAL E SEUS ANEXOS.;;0;;;0;0;0;41534;13;1;;2129;False
licitacoes;000030/2026;Pregão Eletrônico;PREGAO ELETRONICO;Aberta;INSTITUTO DE PREVIDÊNCIA SOCIAL DO MUNICÍPIO DE PALMAS;6100;2026-06-16;000030;2026000809;2026;;;;;;0.00;0.00;"CONTRATAÇÃO DE EMPRESA PARA A PRESTAÇÃO CONTÍNUA DE SERVIÇOS DE COPEIRAGEM, LIMPEZA E JARDINAGEM, COM DEDICAÇÃO EXCLUSIVA DE MÃO DE OBRA,
INCLUINDO O FORNECIMENTO DE MATERIAIS, INSUMOS, EQUIPAMENTOS E MÁQUINAS NECESSÁRIOS À EXECUÇÃO DOS SERVIÇOS, A SEREM REALIZADOS NAS DEPENDÊNCIAS INTERNAS
E EXTERNAS DA SEDE DO INSTITUTO DE PREVIDÊNCIA SOCIAL DO MUNICÍPIO DE PALMAS.";;0;;;0;0;0;41435;13;1;;2129;False
licitacoes;000029/2026;Pregão Eletrônico;PREGAO ELETRONICO;Aberta;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO RURAL;3300;2026-06-19;000029;2025009753;2026;;;;;;88534.40;0.00;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS  DE  INSEMINAÇÃO  ARTIFICIAL  EM  TEMPO FIXO  (IATF)  EM  REBANHO  LEITEIRO, COMPREENDENDO O FORNECIMENTO INTEGRAL DE HORMÔNIOS E INSUMOS E OUTROS, EM ATENDIMENTO À META 06 ?ETAPA 6.1 DO PLANO DE TRABALHO DO CONVÊNIO Nº 827714/2016, CELEBRADO ENTRE A PREFEITURA MUNICIPAL DE PALMAS/TO E O MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO?MDA, VOLTADO  À  OFERTA  EFICIENTE  DE  ASSISTÊNCIA  TÉCNICA  E  EXTENSÃO  RURAL?ATER  AOS  PRODUTORES  RURAIS  DO  MUNICÍPIO  DE  PALMAS/TO.;;0;;;0;0;0;41494;13;1;;2129;False
licitacoes;000028/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;FUNDO MUNICIPAL DE SAÚDE;3200;2026-07-01;000028;2026000203;2026;;2026-07-02 00:00:00;;;;0.00;0.00;AQUISIÇÃO DE MEDICAMENTOS (REMUME I) DESTINADOS AO ATENDIMENTO DAS DEMANDAS ASSISTENCIAIS DA REDE MUNICIPAL DE SAÚDE DE PALMAS, VISANDO GARANTIR O ABASTECIMENTO CONTÍNUO E REGULAR DAS UNIDADES DE SAÚDE DO MUNICÍPIO;;0;;;0;0;0;41487;13;1;;2129;False
licitacoes;000026/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;FUNDO MUNICIPAL DE SAÚDE;3200;2026-06-15;000026;2026000860;2026;;2026-06-26 00:00:00;;;;5120051.08;0.00;REGISTRO DE PREÇOS PARA A FUTURA AQUISIÇÃO DE FRALDAS DESCARTÁVEIS PARA A REDE MUNICIPAL DE SAÚDE;;0;;;0;0;0;41433;13;1;;2129;False
licitacoes;000025/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;FUNDO MUNICIPAL DE SAÚDE;3200;2026-06-16;000025;2026000557;2026;;2026-06-30 00:00:00;;;;442200.50;0.00;REGISTRO DE PREÇOS PARA A AQUISIÇÃO DE INSUMOS DE ENFERMAGEM, VOLUME V, TAPA OLHO, PARA ATENDER A REDE MUNICIPAL DE SAÚDE;;0;;;0;0;0;41442;13;1;;2129;False
licitacoes;000024/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;FUNDO MUNICIPAL DE SAÚDE;3200;2026-06-08;000024;2026000252;2026;;2026-06-23 00:00:00;;;;260345.80;0.00;AQUISIÇÃO DE MATERIAIS DE ALMOXARIFADO (BATERIAS, CADEADOS, PILHAS E SIMILARES) PARA A REDE MUNICIPAL DE SAÚDE;;0;;;0;0;0;41401;13;1;;2129;False
licitacoes;000023/2026;Pregão Eletrônico;PREGÃO ELETRÔNICO RP;Aberta;SECRETARIA MUNICIPAL DE ZELADORIA URBANA;1900;2026-06-03;000023;2026002261;2026;;;;;;1408385.50;0.00;REGISTRO DE PREÇOS PARA A AQUISIÇÃO DE MATERIAIS DESTINADOS À MANUTENÇÃO, AMPLIAÇÃO, ADEQUAÇÃO E MODERNIZAÇÃO DOS SISTEMAS DE IRRIGAÇÃO DAS ÁREAS VERDES URBANAS DO MUNICÍPIO DE PALMAS/TO;;0;;;0;0;0;41362;13;1;;2129;False
